Horodateur,"1. How do you perceive your academic performance compared to your peers? (1 = Much lower, 5 = Much higher) | كيف ترى أدائك الأكاديمي مقارنة بزملائك؟ (1 = أقل بكثير، 5 = أعلى بكثير)",2. Do you tend to hide your stress from friends and family? | هل تميل إلى إخفاء توترك عن أصدقائك وعائلتك؟,3. At what time of day do you feel most productive? | في أي وقت من اليوم تشعر بأكبر قدر من الإنتاجية؟,4. How long can you maintain deep focus while studying? | كم من الوقت يمكنك الحفاظ على تركيز عميق أثناء الدراسة؟,5. What do you consider your strongest academic skill? | ما هي أقوى مهارة أكاديمية لديك؟,6. How many hours per day do you spend studying on average? | كم ساعة في اليوم تقضي في الدراسة في المتوسط؟,7. What time of day do you usually study? | في أي وقت من اليوم تدرس عادةً؟,8. Where do you study most often? | أين تدرس في الغالب؟,9. How would you rate your social life in your study environment? | كيف تقيّم حياتك الاجتماعية في بيئتك الدراسية؟,10. How many hours do you sleep on a typical study night? | كم ساعة تنام في ليلة دراسية عادية؟,"11. How satisfied are you with your current field of study or specialization? (1 = not at all, 5 = very) | ما مدى رضاك عن مجال دراستك أو تخصصك الحالي؟ (1 = غير راضٍ، 5 = راضٍ جداً)",12. Why did you choose your current field of study or specialization? | لماذا اخترت مجال دراستك أو تخصصك الحالي؟,"13. When you do not understand a lesson, what do you generally do? | عندما لا تفهم درساً، ماذا تفعل عادةً؟",14. Do you pretend to be doing well in front of your teachers even when you are suffering? | هل تتظاهر بأنك بخير أمام أساتذتك أو معلميك حتى عندما تعاني؟,15. Do you feel that your good grades do not reflect your real exhaustion? | هل تشعر أن درجاتك الجيدة لا تعكس إرهاقك الحقيقي؟,16. Do you avoid asking for help for fear of appearing weak? | هل تتجنب طلب المساعدة خوفاً من الظهور بضعف؟,17. How often do you act differently from what you really feel in your study environment? | كم مرة تتصرف بشكل مختلف عما تشعر به حقاً في بيئتك الدراسية؟,18. Do you smile or laugh to hide your stress? | هل تبتسم أو تضحك لإخفاء توترك؟,19. Do you feel like you are playing a role at school rather than being yourself? | هل تشعر أنك تؤدي دوراً في مدرستك أو جامعتك بدلاً من أن تكون نفسك؟,"20. When you are overwhelmed with studies, who really knows? | عندما تكون محتشداً بالدراسة، من يعرف حقاً؟",21. Have you ever felt that no one would really understand what you are going through? | هل سبق أن شعرت أن لا أحد سيفهم حقاً ما تمر به؟,22. How often do you feel that your real level is different from the image you project? | كم مرة تشعر أن مستواك الحقيقي مختلف عن الصورة التي تُظهرها؟,23. Do you think other students have fewer difficulties than you? | هل تعتقد أن الطلاب الآخرين لديهم صعوبات أقل منك؟,"24. After an exhausting day, how do you behave the next day in class? | بعد يوم مرهق، كيف تتصرف في اليوم التالي في الصف أو المحاضرة؟","25. When you make a study plan, how often do you follow it? | عندما تضع خطة دراسية، كم مرة تلتزم بها؟",26. How many hours per day do you spend on social media or series instead of studying? | كم ساعة في اليوم تقضي على وسائل التواصل الاجتماعي أو المسلسلات بدلاً من الدراسة؟,27. Do you delay tasks even knowing it will harm you? | هل تؤجل المهام حتى وإن كنت تعلم أن ذلك سيضرك؟,28. How do you describe your relationship with deadlines? | كيف تصف علاقتك بالمواعيد النهائية؟,"29. How often do you use ""I will do it tomorrow"" as a strategy? | كم مرة تستخدم عبارة ""سأفعلها غداً"" كاستراتيجية؟",30. Does fear of doing badly push you not to start? | هل يدفعك الخوف من الأداء السيئ إلى عدم البدء؟,31. How far in advance do you revise before an important exam? | كم من الوقت مسبقاً تراجع قبل امتحان مهم؟,32. Do you work better under pressure or with time ahead? | هل تعمل بشكل أفضل تحت الضغط أم عندما يكون لديك وقت؟,33. How many times have you lost marks because of a late submission? | كم مرة خسرت درجات بسبب تسليم متأخر؟,34. How do you feel about upcoming exams? | كيف تشعر حيال الامتحانات القادمة؟,35. Do your natural strengths match what your field of study requires? | هل تتوافق قدراتك الطبيعية مع ما يتطلبه مجال دراستك؟,36. Have you ever seriously considered changing your field of study or school? | هل فكرت بجدية في تغيير مجال دراستك أو مدرستك/جامعتك؟,37. Which of these best describes your learning style? | أي من هذه الأوصاف يعبّر عن أسلوبك في التعلم؟,38. Do you have a clear career goal after graduation? | هل لديك هدف مهني واضح بعد التخرج؟,"39. If you could go back, would you choose the same field of study again? | لو عدت بالزمن، هل تختار نفس مجال الدراسة مرة أخرى؟","40. If you could give one tip to a new student, what would it be? | إذا كان بإمكانك تقديم نصيحة واحدة لطالب جديد، ماذا ستقول؟",data_source,cluster_kmeans,cluster_dbscan,pca1,pca2,mal_oriente,best_match_cluster,match_score
13/05/2026 00:23:21,3,Sometimes / أحياناً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Critical thinking / التفكير النقدي,1–2h,Morning / الصباح,My room / غرفتي,Active / نشطة,7–8h,4,No clear reason / لا سبب واضح,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,"Yes, exactly / نعم، تماماً",Sometimes / أحياناً,Often / غالباً,It is my usual behavior / إنه سلوكي المعتاد,A little / قليلاً,Family and close friends / العائلة والأصدقاء المقربين,"Yes, always / نعم، دائماً",Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,2–4h,Often / غالباً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,It is my default mode / إنه نمطي الافتراضي,Often / غالباً,3–5 days / 3-5 أيام,A bit better with time / أفضل قليلاً عندما يكون لدي وقت,Never / أبداً,Overwhelmed / مرهق,Somewhat / نوعاً ما,Yes / نعم,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,Not sure / غير متأكد,Everyone should think carefully before starting their career.,real,3,0,1.5369632207028243,1.2951526190967824,1,3,0.19765442763331964
13/05/2026 00:25:31,4,Often / غالباً,Late night / الليل المتأخر,1–2 hours / 1-2 ساعة,Time management / إدارة الوقت,1–2h,Late night / منتصف الليل,My room / غرفتي,Active / نشطة,5–6h,3,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,A little / قليلاً,"No, never / لا، أبداً",Often / غالباً,Often / غالباً,Sometimes yes / أحياناً نعم,"No one, I manage alone / لا أحد، أتدبر أمري وحدي",Often / غالباً,Always / دائماً,Maybe a little / ربما قليلاً,"I am even more ""performant"" to compensate / أكون أكثر ""أداءً"" للتعويض",Often / غالباً,1–2h,Rarely / نادراً,Pressure motivates me / الضغط يحفزني,Rarely / نادراً,"No, never / لا، أبداً",3–5 days / 3-5 أيام,Better under pressure / أفضل تحت الضغط,2–3 times / 2-3 مرات,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,No / لا,Hands-on / عملي تطبيقي,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",when you feel that you need rest you shoud take some rest cuz thsi is what can maek you go farder ,real,0,0,-1.6231899422832097,1.7968962755514633,1,0,0.4287199320284009
13/05/2026 00:28:56,4,Always / دائماً,Early morning / الصباح الباكر,Less than 30 min / أقل من 30 دقيقة,Problem solving / حل المشكلات,1–2h,Afternoon / بعد الظهر,My room / غرفتي,Limited / محدودة,5–6h,4,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,"Yes, exactly / نعم، تماماً","No, never / لا، أبداً",Never / أبداً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي",Sometimes / أحياناً,Sometimes / أحياناً,Probably yes / على الأرجح نعم,I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,1–2h,Sometimes / أحياناً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Often / غالباً,Rarely / نادراً,1–2 days / 1-2 يوم,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,Overwhelmed / مرهق,Somewhat / نوعاً ما,No / لا,Hands-on / عملي تطبيقي,"Yes, very clear / نعم، واضح جداً",Probably yes / ربما نعم,اختر ما تراه مناسبا لك، اجتهد، و ثق في قدراتك,real,0,0,-0.9020310504830352,-1.569991235235524,1,0,0.34377305097015726
13/05/2026 00:29:40,3,Sometimes / أحياناً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Creativity / الإبداع,More than 4h / أكثر من 4 ساعات,Evening / المساء,School / المدرسة أو الجامعة,Active / نشطة,7–8h,2,No clear reason / لا سبب واضح,I ignore and pretend to understand / أتجاهل وأتظاهر بالفهم,Often / غالباً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Sometimes / أحياناً,Often / غالباً,Often / غالباً,Almost all the time / تقريباً طوال الوقت,Family and close friends / العائلة والأصدقاء المقربين,Sometimes / أحياناً,Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I stay silent / أبقى صامتاً/صامتة,Rarely / نادراً,2–4h,Often / غالباً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Often / غالباً,Sometimes / أحياناً,1–2 days / 1-2 يوم,Better under pressure / أفضل تحت الضغط,More than 3 times / أكثر من 3 مرات,Overwhelmed / مرهق,Somewhat / نوعاً ما,I thought about it / فكرت في ذلك,Visual / بصري,No idea / لا فكرة,Probably yes / ربما نعم,دائما لا تأجل عمل اليوم إلى الغد,real,1,0,2.145685530116649,0.1823944086010361,1,1,0.3967541100542509
13/05/2026 00:30:30,1,Always / دائماً,Early morning / الصباح الباكر,More than 2 hours / أكثر من ساعتين,Problem solving / حل المشكلات,Less than 1h / أقل من ساعة,Afternoon / بعد الظهر,My room / غرفتي,Very active / نشطة جداً,5–6h,1,Family pressure / ضغط عائلي,I ignore and pretend to understand / أتجاهل وأتظاهر بالفهم,Always / دائماً,"Yes, exactly / نعم، تماماً","No, never / لا، أبداً",Never / أبداً,It is my usual behavior / إنه سلوكي المعتاد,"No, I am always myself / لا، أنا نفسي دائماً",I even hide it from myself / أخفي حتى عن نفسي,"Yes, always / نعم، دائماً",Always / دائماً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Always / دائماً,4–6h,Rarely / نادراً,Pressure motivates me / الضغط يحفزني,Sometimes / أحياناً,Often / غالباً,Same day / نفس اليوم,Only under extreme pressure / فقط تحت ضغط شديد,Never / أبداً,Calm and prepared / هادئ ومستعد,No / لا,Yes / نعم,Hands-on / عملي تطبيقي,No idea / لا فكرة,"No, never / لا، أبداً",Ealak mn maghrib k ida makdartichy madkholchy k fst,real,3,0,3.1230540542249607,-2.768246040708064,1,3,0.5668604132925337
13/05/2026 00:30:34,5,Sometimes / أحياناً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,1–2h,Evening / المساء,My room / غرفتي,Very active / نشطة جداً,5–6h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,"No, I am always honest / لا، أنا صريح/صريحة دائماً","No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Sometimes / أحياناً,Often / غالباً,Rarely / نادراً,A little / قليلاً,Only one friend / صديق/ة واحد/ة فقط,"No, never / لا، أبداً",Never / أبداً,"No, everyone has challenges / لا، للجميع تحدياته",I explain if asked / أشرح إذا سُئلت,Never / أبداً,More than 6h / أكثر من 6 ساعات,Rarely / نادراً,I plan well in advance / أخطط مسبقاً جيداً,Sometimes / أحياناً,Sometimes / أحياناً,1–2 days / 1-2 يوم,Same / نفس الشيء,More than 3 times / أكثر من 3 مرات,Very anxious / قلق جداً,Somewhat / نوعاً ما,Yes / نعم,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,Probably yes / ربما نعم,بداية الطريق قد تكون صعبة، لكن بالاجتهاد والصبر ستصل لما تتمناه. لا تخف من الأخطاء، فهي جزء من التعلم. نظّم وقتك، اختر أصدقاءً يشجعونك على النجاح، وكن واثقًا من نفسك دائمًا. النجاح لا يأتي بسرعة، بل يأتي لمن يستمر.,real,0,0,-1.016815622125754,-1.3433666557713613,1,0,0.26240307170503047
13/05/2026 00:30:48,5,Sometimes / أحياناً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,1–2h,Evening / المساء,My room / غرفتي,Very active / نشطة جداً,5–6h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,"No, I am always honest / لا، أنا صريح/صريحة دائماً","No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Sometimes / أحياناً,Often / غالباً,Rarely / نادراً,A little / قليلاً,Only one friend / صديق/ة واحد/ة فقط,"No, never / لا، أبداً",Never / أبداً,"No, everyone has challenges / لا، للجميع تحدياته",I explain if asked / أشرح إذا سُئلت,Never / أبداً,More than 6h / أكثر من 6 ساعات,Rarely / نادراً,I plan well in advance / أخطط مسبقاً جيداً,Sometimes / أحياناً,Sometimes / أحياناً,1–2 days / 1-2 يوم,Same / نفس الشيء,More than 3 times / أكثر من 3 مرات,Very anxious / قلق جداً,Somewhat / نوعاً ما,Yes / نعم,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,Probably yes / ربما نعم,بداية الطريق قد تكون صعبة، لكن بالاجتهاد والصبر ستصل لما تتمناه. لا تخف من الأخطاء، فهي جزء من التعلم. نظّم وقتك، اختر أصدقاءً يشجعونك على النجاح، وكن واثقًا من نفسك دائمًا. النجاح لا يأتي بسرعة، بل يأتي لمن يستمر.,real,0,0,-1.0168156221257538,-1.3433666557713615,1,0,0.26240307170503047
13/05/2026 00:33:03,4,Often / غالباً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,1–2h,Evening / المساء,My room / غرفتي,Limited / محدودة,More than 8h / أكثر من 8 ساعات,3,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,"No, I am always honest / لا، أنا صريح/صريحة دائماً","No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Never / أبداً,Never / أبداً,"No, I am always myself / لا، أنا نفسي دائماً",Only one friend / صديق/ة واحد/ة فقط,"No, never / لا، أبداً",Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I stay silent / أبقى صامتاً/صامتة,Rarely / نادراً,1–2h,Always / دائماً,Pressure motivates me / الضغط يحفزني,It is my default mode / إنه نمطي الافتراضي,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Never / أبداً,Very anxious / قلق جداً,Somewhat / نوعاً ما,Yes / نعم,Visual / بصري,"Yes, very clear / نعم، واضح جداً",Probably yes / ربما نعم,"Do what u want and live ur life as u want, time dosen't matter.",real,4,0,-1.2087314634576385,-2.878226510942589,1,4,0.1708999948143515
13/05/2026 00:33:17,1,Always / دائماً,Afternoon / بعد الظهر,1–2 hours / 1-2 ساعة,Other / أخرى,2–4h,Afternoon / بعد الظهر,My room / غرفتي,Almost none / شبه معدومة,5–6h,5,Job market / سوق العمل,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,Quite often / غالباً,"No, never / لا، أبداً",Always / دائماً,Never / أبداً,A little / قليلاً,"No one, I manage alone / لا أحد، أتدبر أمري وحدي","No, never / لا، أبداً",Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,More than 6h / أكثر من 6 ساعات,Sometimes / أحياناً,I plan well in advance / أخطط مسبقاً جيداً,Often / غالباً,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,More than 3 times / أكثر من 3 مرات,Very anxious / قلق جداً,Somewhat / نوعاً ما,No / لا,Reading/Writing / القراءة والكتابة,Not yet / ليس بعد,"Yes, definitely / نعم، بالتأكيد",افعل ما ترتاح فيه ,real,0,0,0.882946370165896,0.2202125095900228,1,3,0.18598481921580085
13/05/2026 00:37:28,4,Often / غالباً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Memory / الحفظ,1–2h,Late night / منتصف الليل,My room / غرفتي,Active / نشطة,7–8h,5,Passion / شغف,I ask a classmate / أسأل زميلاً,Often / غالباً,A little / قليلاً,Rarely / نادراً,Never / أبداً,It is my usual behavior / إنه سلوكي المعتاد,A little / قليلاً,Family and close friends / العائلة والأصدقاء المقربين,Often / غالباً,Sometimes / أحياناً,Probably yes / على الأرجح نعم,I stay silent / أبقى صامتاً/صامتة,Sometimes / أحياناً,2–4h,Always / دائماً,I plan well in advance / أخطط مسبقاً جيداً,It is my default mode / إنه نمطي الافتراضي,"No, never / لا، أبداً",More than 2 weeks / أكثر من أسبوعين,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",No / لا,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Probably no / ربما لا,اعمل بجد ,real,4,0,-1.1421458177017634,0.0220248349419541,0,4,0.351443769455783
13/05/2026 00:37:41,2,Always / دائماً,Evening / المساء,30–60 minutes / 30-60 دقيقة,Critical thinking / التفكير النقدي,2–4h,Evening / المساء,My room / غرفتي,Limited / محدودة,5–6h,4,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,Quite often / غالباً,Sometimes / أحياناً,Sometimes / أحياناً,It is my usual behavior / إنه سلوكي المعتاد,Sometimes yes / أحياناً نعم,"No one, I manage alone / لا أحد، أتدبر أمري وحدي","Yes, always / نعم، دائماً",Sometimes / أحياناً,"Yes, they all seem at ease / نعم، يبدو أنهم جميعاً مرتاحون","I am even more ""performant"" to compensate / أكون أكثر ""أداءً"" للتعويض",Often / غالباً,1–2h,Sometimes / أحياناً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Sometimes / أحياناً,"Yes, always / نعم، دائماً",3–5 days / 3-5 أيام,Much better with time / أفضل بكثير عندما يكون لدي وقت,2–3 times / 2-3 مرات,Very anxious / قلق جداً,Somewhat / نوعاً ما,No / لا,Hands-on / عملي تطبيقي,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",Just do what takes and everything is going to be alright,real,3,0,1.2316292626255154,0.7679303837125904,1,3,0.15071030180506217
13/05/2026 00:39:30,4,Always / دائماً,Late night / الليل المتأخر,1–2 hours / 1-2 ساعة,Memory / الحفظ,Less than 1h / أقل من ساعة,Afternoon / بعد الظهر,Library / المكتبة,Limited / محدودة,5–6h,3,No clear reason / لا سبب واضح,I search alone online / أبحث وحدي على الإنترنت,Rarely / نادراً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Rarely / نادراً,Often / غالباً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً",Only one friend / صديق/ة واحد/ة فقط,Sometimes / أحياناً,Never / أبداً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,More than 6h / أكثر من 6 ساعات,Sometimes / أحياناً,I plan well in advance / أخطط مسبقاً جيداً,Sometimes / أحياناً,"No, never / لا، أبداً",More than 2 weeks / أكثر من أسبوعين,Same / نفس الشيء,Never / أبداً,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,Yes / نعم,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Probably yes / ربما نعم,"Know you level. Whatever you chose, make sure to do it well so that you'll never regret. Be assured that as soon as there's life, there's hope too. You can do everything you want. Stay confident about yourself. ",real,4,0,-0.442451493521551,-1.1940347349125218,1,0,0.09028431176393033
13/05/2026 00:40:26,5,Always / دائماً,Evening / المساء,Less than 30 min / أقل من 30 دقيقة,Problem solving / حل المشكلات,More than 4h / أكثر من 4 ساعات,Evening / المساء,My room / غرفتي,Limited / محدودة,7–8h,4,Passion / شغف,I ask the teacher / أسأل الأستاذ أو المعلم,"No, I am always honest / لا، أنا صريح/صريحة دائماً","No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Never / أبداً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي",Sometimes / أحياناً,Rarely / نادراً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Always / دائماً,2–4h,Sometimes / أحياناً,I plan well in advance / أخطط مسبقاً جيداً,Sometimes / أحياناً,Sometimes / أحياناً,1–2 days / 1-2 يوم,Same / نفس الشيء,Never / أبداً,Overwhelmed / مرهق,Somewhat / نوعاً ما,Yes / نعم,Listening / سمعي,Somewhat / نوعاً ما,Not sure / غير متأكد,Étudier le domaine qu’il aime et bien chercher ces perspectives ,real,2,0,-1.3252173662996642,-1.9096959390017587,1,2,0.21636798950041827
13/05/2026 00:41:19,3,Always / دائماً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Creativity / الإبداع,2–4h,Morning / الصباح,Library / المكتبة,Very active / نشطة جداً,7–8h,1,Job market / سوق العمل,I ask a classmate / أسأل زميلاً,"No, I am always honest / لا، أنا صريح/صريحة دائماً",A little / قليلاً,"No, never / لا، أبداً",Often / غالباً,Often / غالباً,A little / قليلاً,"No one, I manage alone / لا أحد، أتدبر أمري وحدي","Yes, always / نعم، دائماً",Always / دائماً,"No, everyone has challenges / لا، للجميع تحدياته",I stay silent / أبقى صامتاً/صامتة,Sometimes / أحياناً,More than 6h / أكثر من 6 ساعات,Often / غالباً,I often ignore them / أتجاهلها غالباً,Often / غالباً,"Yes, always / نعم، دائماً",3–5 days / 3-5 أيام,Only under extreme pressure / فقط تحت ضغط شديد,Never / أبداً,Overwhelmed / مرهق,"Yes, very much / نعم، كثيراً",I thought about it / فكرت في ذلك,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,"No, never / لا، أبداً","Work hard from the first year, not untill you become forced to work hard later.",real,3,0,3.136890154451898,0.8455547674718807,0,3,0.4513856223451091
13/05/2026 00:41:19,5,Sometimes / أحياناً,Early morning / الصباح الباكر,1–2 hours / 1-2 ساعة,Problem solving / حل المشكلات,2–4h,Late night / منتصف الليل,My room / غرفتي,Active / نشطة,5–6h,4,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,"No, I am always honest / لا، أنا صريح/صريحة دائماً",A little / قليلاً,"No, never / لا، أبداً",Sometimes / أحياناً,Often / غالباً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي","Yes, always / نعم، دائماً",Never / أبداً,"No, everyone has challenges / لا، للجميع تحدياته","I am even more ""performant"" to compensate / أكون أكثر ""أداءً"" للتعويض",Always / دائماً,1–2h,Sometimes / أحياناً,Pressure motivates me / الضغط يحفزني,Sometimes / أحياناً,"No, never / لا، أبداً",1–2 weeks / 1-2 أسابيع,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,Overwhelmed / مرهق,"Yes, very much / نعم، كثيراً",No / لا,Visual / بصري,Somewhat / نوعاً ما,Probably yes / ربما نعم,"Prepare before class, and ask without shame if you don’t understand.  
Review a little every day - it’s better than cramming the night before the exam.",real,0,0,-2.7425562543819915,0.4964050875095952,0,0,0.4222351625265779
13/05/2026 00:42:38,2,Often / غالباً,Late morning / متأخر الصباح,30–60 minutes / 30-60 دقيقة,Other / أخرى,2–4h,Afternoon / بعد الظهر,My room / غرفتي,Almost none / شبه معدومة,7–8h,1,Job market / سوق العمل,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,A little / قليلاً,Often / غالباً,Often / غالباً,Often / غالباً,Often / غالباً,"No one, I manage alone / لا أحد، أتدبر أمري وحدي",Rarely / نادراً,Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I explain if asked / أشرح إذا سُئلت,Sometimes / أحياناً,2–4h,Often / غالباً,I sometimes miss them / أتجاوزها أحياناً,Often / غالباً,"No, never / لا، أبداً",1–2 weeks / 1-2 أسابيع,Much better with time / أفضل بكثير عندما يكون لدي وقت,More than 3 times / أكثر من 3 مرات,Very anxious / قلق جداً,Not really / ليس تماماً,I thought about it / فكرت في ذلك,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,Probably no / ربما لا,"The last year of school before university is not really what defines your future. It has always been, and will always be, your commitment and your choices that guide you, whether in a good or bad directions. It’s up to you to choose, so be wise and careful. You only live once, so live life the way you want, not the way you are supposed to.",real,3,0,2.4891606760813283,-0.710349010808391,1,3,0.32141539671754327
13/05/2026 00:47:56,3,Sometimes / أحياناً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Communication / التواصل,1–2h,Morning / الصباح,My room / غرفتي,Active / نشطة,7–8h,3,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Rarely / نادراً,Quite often / غالباً,Sometimes / أحياناً,Rarely / نادراً,Often / غالباً,Sometimes yes / أحياناً نعم,Family and close friends / العائلة والأصدقاء المقربين,Rarely / نادراً,Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Often / غالباً,2–4h,Sometimes / أحياناً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Sometimes / أحياناً,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Never / أبداً,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,I thought about it / فكرت في ذلك,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Probably no / ربما لا,Always follow your passion ,real,1,0,-0.8471482337849933,1.3320035497411031,1,1,0.361409951744188
13/05/2026 00:48:14,3,Sometimes / أحياناً,Late night / الليل المتأخر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,More than 4h / أكثر من 4 ساعات,Late night / منتصف الليل,My room / غرفتي,Active / نشطة,7–8h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Sometimes / أحياناً,Rarely / نادراً,Sometimes / أحياناً,Sometimes yes / أحياناً نعم,"No one, I manage alone / لا أحد، أتدبر أمري وحدي",Sometimes / أحياناً,Rarely / نادراً,Maybe a little / ربما قليلاً,I stay silent / أبقى صامتاً/صامتة,Often / غالباً,Less than 1h / أقل من ساعة,Rarely / نادراً,I sometimes miss them / أتجاوزها أحياناً,Never / أبداً,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Same / نفس الشيء,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",No / لا,Reading/Writing / القراءة والكتابة,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",Be yourself and don’t try to change who you are just to fit different situations or please other people.,real,2,0,-2.827809615227596,1.062973382844859,0,2,0.12934482494177166
