,0,1,2,3,4
27. Do you delay tasks even knowing it will harm you? | هل تؤجل المهام حتى وإن كنت تعلم أن ذلك سيضرك؟,Sometimes / أحياناً,Sometimes / أحياناً,Sometimes / أحياناً,Always / دائماً,Sometimes / أحياناً
28. How do you describe your relationship with deadlines? | كيف تصف علاقتك بالمواعيد النهائية؟,Pressure motivates me / الضغط يحفزني,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,I plan well in advance / أخطط مسبقاً جيداً,Pressure motivates me / الضغط يحفزني,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة
"29. How often do you use ""I will do it tomorrow"" as a strategy? | كم مرة تستخدم عبارة ""سأفعلها غداً"" كاستراتيجية؟",Sometimes / أحياناً,Sometimes / أحياناً,Sometimes / أحياناً,Often / غالباً,Sometimes / أحياناً
30. Does fear of doing badly push you not to start? | هل يدفعك الخوف من الأداء السيئ إلى عدم البدء؟,Sometimes / أحياناً,Sometimes / أحياناً,"No, never / لا، أبداً",Sometimes / أحياناً,Sometimes / أحياناً
31. How far in advance do you revise before an important exam? | كم من الوقت مسبقاً تراجع قبل امتحان مهم؟,1–2 weeks / 1-2 أسابيع,1–2 weeks / 1-2 أسابيع,3–5 days / 3-5 أيام,More than 2 weeks / أكثر من أسبوعين,More than 2 weeks / أكثر من أسبوعين
32. Do you work better under pressure or with time ahead? | هل تعمل بشكل أفضل تحت الضغط أم عندما يكون لديك وقت؟,Better under pressure / أفضل تحت الضغط,Better under pressure / أفضل تحت الضغط,Much better with time / أفضل بكثير عندما يكون لدي وقت,Much better with time / أفضل بكثير عندما يكون لدي وقت,Better under pressure / أفضل تحت الضغط
33. How many times have you lost marks because of a late submission? | كم مرة خسرت درجات بسبب تسليم متأخر؟,Never / أبداً,Never / أبداً,Never / أبداً,Never / أبداً,Never / أبداً
34. How do you feel about upcoming exams? | كيف تشعر حيال الامتحانات القادمة؟,A little anxious / قليلاً قلق,A little anxious / قليلاً قلق,Calm and prepared / هادئ ومستعد,Overwhelmed / مرهق,A little anxious / قليلاً قلق
35. Do your natural strengths match what your field of study requires? | هل تتوافق قدراتك الطبيعية مع ما يتطلبه مجال دراستك؟,Somewhat / نوعاً ما,Somewhat / نوعاً ما,"Yes, very much / نعم، كثيراً",Somewhat / نوعاً ما,Somewhat / نوعاً ما
36. Have you ever seriously considered changing your field of study or school? | هل فكرت بجدية في تغيير مجال دراستك أو مدرستك/جامعتك؟,No / لا,I thought about it / فكرت في ذلك,Yes / نعم,I thought about it / فكرت في ذلك,No / لا
37. Which of these best describes your learning style? | أي من هذه الأوصاف يعبّر عن أسلوبك في التعلم؟,Hands-on / عملي تطبيقي,Reading/Writing / القراءة والكتابة,Hands-on / عملي تطبيقي,Hands-on / عملي تطبيقي,Reading/Writing / القراءة والكتابة
38. Do you have a clear career goal after graduation? | هل لديك هدف مهني واضح بعد التخرج؟,Somewhat / نوعاً ما,Somewhat / نوعاً ما,"Yes, very clear / نعم، واضح جداً",Somewhat / نوعاً ما,Somewhat / نوعاً ما
"39. If you could go back, would you choose the same field of study again? | لو عدت بالزمن، هل تختار نفس مجال الدراسة مرة أخرى؟","Yes, definitely / نعم، بالتأكيد",Not sure / غير متأكد,"Yes, definitely / نعم، بالتأكيد","Yes, definitely / نعم، بالتأكيد","Yes, definitely / نعم، بالتأكيد"
"40. If you could give one tip to a new student, what would it be? | إذا كان بإمكانك تقديم نصيحة واحدة لطالب جديد، ماذا ستقول؟",Choose your passion before your field of study.,اعمل جيدا ما استطعت و خذ بالأسباب المتاحة و توكل على الله فهو حسبك، و احسن الظن به فوالله ما خاب قط من  توكل عليه,لا تختر هذا التخصُّص,"Prepare before class, and ask without shame if you don’t understand.  
Review a little every day - it’s better than cramming the night before the exam.",عليك العمل بجد و اجتهاد للوصول الى المبتغى 
data_source,real,synthetic,real,real,synthetic
